Portfolio,Market State,Rebal Type,Rebal Value,Strategy,NoTLH_Final_NAV,NoTLH_Liq_NAV,TLH_Final_NAV,TLH_Liq_NAV,Pre_Liq_TaxAlpha,Post_Liq_TaxAlpha,TLH_Events,ExecCost_NoTLH,ExecCost_TLH,LiqTax_NoTLH,LiqTax_TLH
40/60 (TA ETF),Baseline (2010–2019),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,1696593.53,1554999.2,1682813.04,1541939.96,-13780.48999999999,-13059.23999999999,9,1198.56,1773.29,139558.42,138858.17
40/60 (TA ETF),Baseline (2010–2019),Calendar,Monthly,Monthly Rebal | No TLH,1536320.51,1449973.72,1535070.06,1449301.99,-1250.4499999999534,-671.7299999999814,209,4624.51,5453.58,84494.79,83914.69
40/60 (TA ETF),Baseline (2010–2019),Calendar,Quarterly,Quarterly Rebal | No TLH,1552947.11,1461251.91,1555400.68,1460332.61,2453.5699999998324,-919.2999999998137,93,3143.91,3999.41,89826.89,93196.68
40/60 (TA ETF),Baseline (2010–2019),Calendar,Yearly,Yearly Rebal | No TLH,1546794.68,1450518.23,1538605.38,1440596.47,-8189.300000000047,-9921.76000000001,30,2021.41,2911.36,94419.83,96161.43
40/60 (TA ETF),Baseline (2010–2019),Relative Threshold,0.25,Rel Threshold 25% | No TLH,1536390.62,1446626.99,1542198.42,1448825.93,5807.799999999814,2198.939999999944,45,1927.43,2987.54,87909.29,91511.86
40/60 (TA ETF),Baseline (2010–2019),Relative Threshold,0.5,Rel Threshold 50% | No TLH,1572937.34,1477476.04,1553465.96,1460747.86,-19471.38000000012,-16728.179999999935,15,1841.56,2660.95,93556.54,90858.2
100/0 (TA ETF),Bear (2007–2008),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,632540.88,632831.83,638118.82,637354.34,5577.939999999944,4522.510000000009,26,1198.56,6112.84,-1050.0,0.0
100/0 (TA ETF),Bear (2007–2008),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,632540.88,632831.83,638118.82,637354.34,5577.939999999944,4522.510000000009,26,1198.56,6112.84,-1050.0,0.0
100/0 (TA ETF),Bear (2007–2008),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,632540.88,632831.83,638118.82,637354.34,5577.939999999944,4522.510000000009,26,1198.56,6112.84,-1050.0,0.0
100/0 (TA ETF),Bear (2007–2008),Calendar,Monthly,Monthly Rebal | No TLH,633873.44,633114.06,628607.46,627854.39,-5265.979999999981,-5259.670000000042,87,1529.39,7753.31,0.0,0.0
100/0 (TA ETF),Bear (2007–2008),Calendar,Quarterly,Quarterly Rebal | No TLH,632985.86,633118.09,630845.5,630089.75,-2140.359999999986,-3028.3399999999674,60,1358.29,8101.78,-891.62,0.0
100/0 (TA ETF),Bear (2007–2008),Calendar,Yearly,Yearly Rebal | No TLH,632525.64,634491.49,640937.35,640169.49,8411.709999999963,5678.0,40,1262.32,6176.66,-2726.89,0.0
100/0 (TA ETF),Bear (2007–2008),Relative Threshold,0.25,Rel Threshold 25% | No TLH,637135.99,636947.67,650249.64,649470.6,13113.650000000023,12522.929999999935,28,1340.17,6103.97,-575.67,0.0
100/0 (TA ETF),Bear (2007–2008),Relative Threshold,0.5,Rel Threshold 50% | No TLH,632540.88,632831.83,638118.82,637354.34,5577.939999999944,4522.510000000009,26,1198.56,6112.84,-1050.0,0.0
2-ETF (IVV/EFA),Bear (2007–2008),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,625986.86,626285.68,637847.95,637083.79,11861.089999999967,10798.109999999986,3,1198.56,4558.82,-1050.0,0.0
